time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-02,3.0,2.2,5.0,59.4,0.0,349.0,10.4,,1021.4,
2019-01-03,5.0,1.1,11.1,6.1,0.0,306.0,7.9,,1017.9,
2019-01-04,7.9,0.0,18.9,0.0,0.0,289.0,4.3,,1018.4,
2019-01-05,11.8,2.8,23.9,0.0,0.0,,2.9,,1020.5,
2019-01-06,13.5,5.6,22.2,0.0,0.0,168.0,7.9,,1018.3,
2019-01-07,19.4,15.0,25.0,0.0,0.0,208.0,4.7,,1017.6,
2019-01-08,17.4,11.7,25.0,0.0,0.0,320.0,6.1,,1022.6,
2019-01-09,12.5,7.8,16.7,0.0,0.0,22.0,9.0,,1030.9,
2019-01-10,11.0,5.6,15.6,0.0,0.0,,5.0,,1026.2,
2019-01-11,12.0,8.9,16.1,8.1,0.0,147.0,4.7,,1017.8,
2019-01-12,12.5,6.7,16.1,0.0,0.0,306.0,11.5,,1019.3,
2019-01-13,7.1,2.8,12.2,0.0,0.0,1.0,9.4,,1028.9,
2019-01-14,6.7,3.3,11.1,0.0,0.0,4.0,4.7,,1031.1,
2019-01-15,9.0,7.2,10.6,0.0,0.0,,3.2,,1027.2,
2019-01-16,11.7,10.0,13.9,1.0,0.0,,1.4,,1023.0,
2019-01-17,16.6,11.7,25.0,0.0,0.0,272.0,4.7,,1020.3,
2019-01-18,14.9,10.0,18.9,0.0,0.0,,6.5,,1013.3,
2019-01-19,10.7,3.9,16.7,0.0,0.0,324.0,17.6,,1019.4,
2019-01-20,6.0,0.0,12.2,0.0,0.0,30.0,7.2,,1028.1,
2019-01-21,10.6,2.2,19.4,0.0,0.0,164.0,9.7,,1020.0,
2019-01-22,15.6,5.6,20.6,5.1,0.0,190.0,11.2,,1011.5,
2019-01-23,6.4,1.1,13.3,0.3,0.0,324.0,11.9,,1021.4,
2019-01-24,8.4,0.0,17.8,0.0,0.0,,6.1,,1020.7,
2019-01-25,9.8,4.4,16.1,0.0,0.0,86.0,5.8,,1025.4,
2019-01-26,11.7,5.6,17.8,4.6,0.0,,4.7,,1022.8,
2019-01-27,12.3,6.1,19.4,1.0,0.0,289.0,4.3,,1020.7,
2019-01-28,13.2,6.7,22.8,0.0,0.0,223.0,8.6,,1013.4,
2019-01-29,6.4,2.2,10.0,0.0,0.0,32.0,8.3,,1026.2,
2019-01-30,8.3,4.4,12.8,0.0,0.0,121.0,7.9,,1024.0,
2019-01-31,11.2,7.8,14.4,0.5,0.0,130.0,4.3,,1020.2,
2019-02-01,15.8,13.9,18.3,0.3,0.0,108.0,4.7,,1019.6,
2019-02-02,16.2,15.0,17.8,0.0,0.0,133.0,5.4,,1018.1,
2019-02-03,19.1,16.7,24.4,0.0,0.0,177.0,7.2,,1012.3,
2019-02-04,20.7,18.9,25.0,0.0,0.0,192.0,6.8,,1011.5,
2019-02-05,21.5,19.4,26.1,0.0,0.0,175.0,7.9,,1011.4,
2019-02-06,21.7,20.0,24.4,0.0,0.0,172.0,10.1,,1010.1,
2019-02-07,15.4,3.9,22.2,0.8,0.0,348.0,12.2,,1018.2,
