time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-02,-6.0,-17.2,-10.0,0.0,25.0,207.0,12.1,,1020.9,
2019-01-03,0.5,-13.9,6.7,0.0,0.0,230.0,13.0,,1017.0,
2019-01-04,4.9,-6.7,13.3,0.0,0.0,211.0,11.7,,1014.5,
2019-01-05,5.2,-3.9,17.2,0.0,0.0,183.0,10.4,,1013.1,
2019-01-06,4.5,-3.3,13.9,0.0,0.0,249.0,12.7,,1004.1,
2019-01-07,3.2,-5.0,13.9,0.0,0.0,241.0,19.7,,1009.6,
2019-01-08,-0.4,-5.0,11.7,0.0,0.0,164.0,10.5,,1026.1,
2019-01-09,0.3,-6.1,7.2,0.0,0.0,179.0,8.7,,1025.3,
2019-01-10,5.0,-6.7,10.0,0.0,0.0,211.0,9.6,,1017.2,
2019-01-11,1.5,0.0,14.4,1.8,0.0,345.0,13.8,,1018.7,
2019-01-12,-1.3,-0.6,1.1,13.5,51.0,111.0,9.0,,1024.0,
2019-01-13,-3.8,-6.7,5.0,0.0,51.0,183.0,8.4,,1026.0,
2019-01-14,-2.2,-7.8,5.6,0.0,25.0,202.0,11.5,,1025.0,
2019-01-15,0.3,-7.2,9.4,0.0,25.0,187.0,10.4,,1019.7,
2019-01-16,2.1,-7.8,10.0,0.0,25.0,236.0,10.8,,1014.6,
2019-01-17,4.7,-1.7,11.7,0.0,0.0,208.0,13.6,,1012.8,
2019-01-18,0.8,-1.1,13.9,0.0,0.0,311.0,14.7,,1011.9,
2019-01-19,-0.2,-6.7,2.8,3.3,25.0,224.0,13.1,,1023.3,
2019-01-20,4.6,-6.7,9.4,0.0,0.0,190.0,13.0,,1015.6,
2019-01-21,3.0,-2.8,14.4,0.0,0.0,224.0,14.8,,1000.8,
2019-01-22,-5.9,-5.6,13.9,4.8,25.0,343.0,21.7,,1019.0,
2019-01-23,-3.9,-8.9,-0.6,0.3,0.0,238.0,16.2,,1019.2,
2019-01-24,-5.7,-6.7,7.8,0.0,0.0,151.0,10.8,,1023.5,
2019-01-25,-3.8,-11.7,-1.7,1.8,51.0,227.0,14.3,,1022.4,
2019-01-26,-1.2,-11.7,3.3,0.0,25.0,246.0,14.8,,1022.8,
2019-01-27,3.6,-5.6,7.2,0.0,25.0,253.0,18.4,,1014.9,
2019-01-28,-5.2,-3.9,11.1,2.3,51.0,37.0,15.4,,1022.7,
2019-01-29,-8.2,-14.4,-2.2,2.5,102.0,148.0,11.4,,1022.8,
2019-01-30,-2.8,-15.0,-0.6,0.0,76.0,196.0,13.6,,1014.2,
2019-01-31,1.0,-15.0,9.4,0.0,25.0,196.0,12.3,,1012.6,
2019-02-01,2.5,-6.1,12.8,0.0,0.0,196.0,11.2,,1014.2,
2019-02-02,5.1,-5.0,13.9,0.0,0.0,220.0,13.7,,1008.3,
2019-02-03,6.8,-0.6,15.0,0.0,0.0,231.0,17.1,,998.6,
2019-02-04,3.6,-0.6,18.3,0.0,0.0,180.0,15.1,,1003.7,
2019-02-05,-0.2,-7.2,15.0,0.0,0.0,148.0,11.9,,1004.2,
2019-02-06,-6.9,-9.4,11.7,0.0,0.0,26.0,12.5,,1007.0,
2019-02-07,-14.9,-20.6,-7.8,4.6,76.0,112.0,11.7,,1024.5,
2019-02-08,-9.3,-20.0,-8.3,0.0,76.0,170.0,10.0,,1025.5,
2019-02-09,-3.6,-20.0,-5.6,0.0,76.0,143.0,11.4,,1016.9,
2019-02-10,-5.3,-11.7,4.4,0.0,76.0,170.0,11.0,,1013.3,
2019-02-11,-4.6,-12.8,-0.6,0.0,51.0,272.0,15.8,,1009.5,
2019-02-12,-0.3,-12.8,1.1,0.0,51.0,215.0,15.8,,1018.1,
2019-02-13,5.0,-6.7,10.0,0.0,25.0,238.0,16.8,,1005.3,
2019-02-14,5.8,-4.4,14.4,0.0,0.0,188.0,14.5,,1001.7,
2019-02-15,2.0,-4.4,13.9,0.0,0.0,229.0,12.3,,1004.4,
2019-02-16,-3.1,-6.1,15.0,0.0,0.0,287.0,14.9,,1003.6,
2019-02-17,-7.1,-7.8,3.9,0.8,25.0,126.0,13.2,,1015.0,
2019-02-18,-10.7,-13.3,1.7,0.3,0.0,109.0,10.7,,1023.6,
2019-02-19,-10.0,-14.4,-7.2,0.0,0.0,296.0,9.0,,1016.8,
2019-02-20,-7.7,-13.3,-6.7,0.0,0.0,212.0,13.6,,1008.4,
2019-02-21,-6.8,-12.8,2.2,0.0,0.0,98.0,9.8,,1011.8,
2019-02-22,-4.6,-10.6,0.6,0.3,0.0,43.0,12.1,,1011.7,
2019-02-23,-3.7,-6.7,-2.8,15.0,178.0,313.0,17.9,,1014.6,
2019-02-24,-2.5,-11.7,3.3,0.0,127.0,187.0,14.1,,1020.1,
2019-02-25,-0.7,-11.1,5.6,0.0,76.0,163.0,9.9,,1015.3,
2019-02-26,1.1,-10.6,7.2,0.0,51.0,178.0,10.9,,1015.1,
2019-02-27,-2.1,-7.8,10.0,0.0,51.0,132.0,11.0,,1018.7,
2019-02-28,3.0,-10.0,-1.7,0.0,25.0,186.0,12.0,,1012.5,
2019-03-01,2.9,-5.0,12.2,0.0,0.0,146.0,15.1,,1012.6,
2019-03-02,-5.6,-3.9,8.9,0.0,0.0,27.0,15.2,,1019.6,
2019-03-03,-14.5,-19.4,-2.8,5.3,76.0,73.0,9.7,,1028.2,
2019-03-04,-13.6,-20.0,-14.4,0.5,76.0,123.0,10.0,,1027.6,
2019-03-05,-7.0,-17.2,-7.2,0.0,51.0,155.0,10.6,,1026.3,
2019-03-06,-0.5,-16.1,-1.1,0.0,51.0,117.0,11.5,,1014.3,
2019-03-07,2.1,-8.3,3.3,2.8,51.0,138.0,11.8,,1009.7,
2019-03-08,4.1,-4.4,11.7,0.0,0.0,206.0,14.4,,1002.6,
2019-03-09,2.4,-2.2,10.0,0.5,0.0,323.0,17.9,,1004.7,
2019-03-10,,-3.3,10.6,0.0,0.0,,,,,
2019-03-11,1.7,-4.4,10.0,0.0,0.0,149.0,10.2,,1018.9,
2019-03-12,6.1,-2.8,12.8,0.0,0.0,261.0,13.1,,1006.5,
2019-03-13,0.4,0.6,15.0,1.8,0.0,337.0,34.4,,992.4,
2019-03-14,-3.2,-2.8,3.9,22.4,76.0,342.0,20.8,,1019.7,
2019-03-15,-2.3,-8.3,1.1,0.0,76.0,164.0,11.7,,1028.2,
2019-03-16,0.2,-8.3,7.2,0.0,25.0,150.0,10.7,,1027.0,
2019-03-17,1.9,-4.4,6.7,0.0,0.0,143.0,10.0,,1025.1,
2019-03-18,1.6,-3.9,9.4,0.0,0.0,124.0,10.8,,1023.5,
2019-03-19,0.4,-1.1,7.8,0.0,0.0,347.0,10.2,,1024.5,
2019-03-20,3.4,-3.3,7.8,0.0,0.0,214.0,10.9,,1025.0,
2019-03-21,5.8,-2.8,13.9,0.0,0.0,180.0,15.0,,1019.2,
2019-03-22,4.7,-1.7,16.1,0.0,0.0,302.0,12.4,,1013.2,
2019-03-23,4.9,2.2,13.3,0.8,0.0,313.0,15.2,,1013.4,
2019-03-24,5.1,-1.1,7.8,0.0,0.0,183.0,10.8,,1017.3,
2019-03-25,5.5,-1.7,13.9,0.3,0.0,221.0,10.3,,1022.9,
2019-03-26,8.9,-0.6,14.4,0.0,0.0,186.0,12.7,,1018.7,
2019-03-27,12.8,-0.6,21.7,0.0,0.0,178.0,13.2,,1011.7,
2019-03-28,10.6,3.9,23.3,0.0,0.0,118.0,14.4,,1012.8,
2019-03-29,3.5,3.3,17.2,0.0,0.0,43.0,15.9,,1015.0,
2019-03-30,0.0,-2.2,6.1,7.4,51.0,23.0,11.4,,1027.4,
