time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-02,4.0,2.8,5.6,,,,8.9,,1024.9,
2019-01-03,5.7,3.9,7.8,,,,9.0,,1015.0,
2019-01-04,4.8,2.2,7.2,,,,12.8,,1014.6,
2019-01-05,7.1,6.1,7.8,,,,12.8,,1001.5,
2019-01-06,6.2,1.7,10.0,,,,8.9,,1014.4,
2019-01-07,0.2,-2.2,2.2,,,,9.4,,1030.2,
2019-01-09,5.7,2.2,7.8,,,,12.0,,1002.1,
2019-01-11,-1.7,-5.0,2.2,,,,7.4,,1023.7,
2019-01-12,-1.6,-5.6,2.2,,,,8.5,,1033.2,
2019-01-14,-0.7,-3.3,3.3,,,,13.0,,1023.7,
2019-01-15,0.7,-2.2,3.9,,,,8.0,,1020.7,
2019-01-16,1.6,-1.1,4.4,,,,14.5,,1019.2,
2019-01-18,1.9,0.0,4.4,,,,10.6,,1020.3,
2019-01-19,2.6,1.1,3.3,,,,13.7,,1021.3,
2019-01-21,-10.1,-13.3,-7.2,,,,9.5,,1018.4,
2019-01-22,-4.6,-9.4,0.6,,,,10.3,,1036.0,
2019-01-23,3.1,-1.1,10.0,,,,11.3,,1025.0,
2019-01-24,9.8,2.2,13.3,,,,10.4,,,
2019-01-25,2.1,-1.1,4.4,,,,17.4,,1015.2,
2019-01-28,-0.2,-2.2,3.9,,,,9.7,,1018.3,
2019-01-29,1.8,-2.2,6.1,,,,12.7,,1013.7,
2019-01-30,-4.6,-12.8,1.7,,,,14.5,,,
2019-01-31,-11.1,-14.4,-7.2,,,,19.1,,1028.7,
2019-02-01,-8.0,-10.6,-5.6,,,,11.3,,1030.3,
2019-02-03,4.0,-0.6,12.2,,,,7.8,,1020.8,
2019-02-06,5.7,3.3,8.9,,,,13.5,,1021.6,
2019-02-07,5.3,4.4,6.1,,,51.0,15.7,,1018.1,
2019-02-08,6.1,1.1,12.2,,,,11.7,,1015.6,
2019-02-09,-0.7,-3.3,2.8,,,,7.7,,1034.9,
2019-02-10,-0.6,-3.9,2.8,,,,10.8,,1035.9,
2019-02-12,0.3,-2.2,2.2,,,39.0,23.5,,1022.4,
2019-02-13,2.8,1.1,5.0,,,,21.0,,1005.9,
2019-02-14,4.2,1.1,7.8,,,,12.8,,1016.4,
2019-02-15,10.0,5.6,14.4,,,,6.0,,1008.0,
2019-02-16,5.1,1.1,10.0,,,,7.7,,1011.5,
2019-02-17,1.0,-1.7,3.3,,,,9.6,,1018.9,
2019-02-18,2.3,-1.7,5.6,,,,10.0,,1014.6,
2019-02-19,-0.5,-3.9,4.4,,,,8.5,,1034.0,
2019-02-21,5.5,0.6,11.1,,,,13.8,,1015.6,
2019-02-22,5.5,3.3,7.8,,,,7.4,,1027.4,
2019-02-24,5.7,2.8,7.8,,,,20.2,,1004.2,
2019-02-25,4.0,-1.1,6.7,,,,18.2,,1009.5,
2019-02-26,0.1,-2.8,5.0,,,,9.1,,1027.3,
2019-02-28,1.1,-1.1,4.4,,,,12.3,,,
2019-03-01,0.8,-1.1,2.2,,,46.0,15.9,,1026.1,
2019-03-02,2.5,0.6,6.1,,,,12.9,,1017.9,
2019-03-05,-1.7,-4.4,1.7,,,,13.5,,1017.2,
2019-03-06,-3.7,-5.6,-0.6,,,,11.4,,1020.8,
2019-03-11,8.5,5.0,12.8,,,,16.2,,1016.6,
2019-03-12,4.5,1.7,8.3,,,,6.5,,1022.6,
2019-03-17,4.6,1.7,8.9,,,,11.7,,1022.1,
2019-03-18,4.2,1.1,7.8,,,,10.7,,1025.5,
2019-03-19,5.4,2.2,8.9,,,,8.6,,1029.6,
2019-03-20,6.2,2.2,11.1,,,,9.3,,1028.7,
2019-03-21,7.0,5.6,8.3,,,,16.9,,1016.8,
2019-03-22,7.0,5.0,10.6,,,,14.0,,995.7,
2019-03-23,5.8,2.2,11.1,,,,8.6,,1010.6,
2019-03-24,9.0,3.3,14.4,,,,13.5,,1020.5,
2019-03-27,4.6,2.2,7.8,,,,12.7,,1032.9,
2019-03-28,6.2,2.2,10.6,,,,10.0,,1029.3,
2019-03-29,10.8,8.3,13.3,,,,7.7,,1020.4,
2019-03-30,13.3,10.0,17.8,,,,7.2,,1016.5,
